,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,gene_40,gene_41,gene_42,gene_43,gene_44,gene_45,gene_46,gene_47,gene_48,gene_49,gene_50,gene_51,gene_52,gene_53,gene_54,gene_55,gene_56,gene_57,gene_58,gene_59,gene_60,gene_61,gene_62,gene_63,gene_64,gene_65,gene_66,gene_67,gene_68,gene_69,gene_70,gene_71,gene_72,gene_73,gene_74,gene_75,gene_76,gene_77,gene_78,gene_79,gene_80,gene_81,gene_82,gene_83,gene_84,gene_85,gene_86,gene_87,gene_88,gene_89,gene_90,gene_91,gene_92,gene_93,gene_94,gene_95,gene_96,gene_97,gene_98,gene_99
R_cell_11,6,2,5,2,0,2,4,4,2,2,9,6,8,2,1,3,3,0,1,5,4,2,4,2,1,1,3,3,2,6,8,0,1,0,2,7,2,2,2,3,28,14,6,20,3,8,7,13,29,19,1,4,1,1,2,3,2,5,0,5,0,2,8,3,3,4,2,1,6,1,0,2,0,2,3,4,1,6,2,2,4,1,1,1,3,1,3,7,3,4,1,3,1,3,0,1,1,3,3,2
R_cell_12,18,7,15,35,1,7,6,9,18,2,10,6,3,8,1,0,6,3,4,3,1,2,7,1,2,3,2,5,3,9,8,4,2,0,2,1,2,0,3,2,3,2,5,6,3,3,9,2,6,0,4,6,1,0,4,1,2,8,1,4,1,0,5,3,4,4,3,2,3,2,1,2,1,2,2,6,5,6,4,3,6,2,1,2,1,1,0,2,1,9,3,5,3,2,1,0,1,0,2,1
R_cell_13,4,2,6,6,0,2,3,1,1,3,4,3,1,7,5,1,4,1,3,1,3,1,4,2,3,2,3,3,4,6,5,0,5,1,2,3,2,1,2,3,19,20,6,37,14,8,10,3,24,13,3,12,1,2,1,2,1,6,0,6,0,3,1,2,3,4,0,6,6,2,0,2,2,3,0,6,6,2,2,0,3,1,0,1,2,4,1,2,5,5,7,5,3,1,1,0,3,1,1,0
R_cell_14,2,4,5,7,1,1,4,5,0,1,14,15,14,11,22,6,6,6,26,11,2,3,5,1,3,1,2,8,4,3,11,1,1,1,3,6,0,1,1,3,8,3,1,7,3,8,7,6,5,6,9,4,0,4,2,3,0,5,1,8,0,4,2,2,4,2,2,3,2,8,1,2,0,5,6,5,2,3,4,4,4,3,4,3,0,2,5,2,8,1,7,2,5,3,0,1,1,1,2,1
R_cell_15,13,11,30,46,5,2,9,14,12,3,5,7,1,6,1,1,5,1,4,4,3,2,7,4,2,4,6,9,6,6,9,1,2,1,3,5,2,1,2,7,7,4,1,1,4,1,5,8,1,2,2,4,0,0,3,2,1,5,2,3,0,2,4,4,4,5,2,1,1,3,0,0,0,4,4,2,0,5,9,1,0,3,0,4,1,3,0,3,5,12,2,3,4,1,4,0,0,0,3,0
R_cell_16,4,1,3,1,1,2,4,4,4,3,23,20,12,10,12,10,9,6,34,12,2,0,3,2,1,2,2,4,1,1,14,1,2,3,6,8,0,0,2,4,5,3,0,9,4,8,4,0,4,3,6,9,1,4,0,4,1,10,2,5,2,2,3,10,3,7,4,2,9,2,2,1,1,3,3,7,2,9,4,0,3,2,3,2,1,3,1,3,3,3,4,4,1,3,2,0,1,3,6,3
R_cell_17,4,3,6,3,1,2,4,1,0,1,39,9,13,7,19,3,9,8,35,6,1,3,8,6,3,3,2,2,1,3,8,0,3,5,7,12,3,2,0,4,3,8,6,1,3,3,5,5,4,4,4,2,2,1,5,2,1,1,3,6,0,0,4,2,7,7,3,4,0,5,1,2,1,3,5,3,3,2,4,2,5,1,6,1,0,6,1,6,6,4,3,0,2,2,0,0,2,1,4,0
R_cell_18,1,1,4,8,0,0,7,1,1,5,2,2,3,5,2,2,4,3,2,7,1,0,13,0,4,4,1,4,8,2,9,1,2,3,4,6,3,0,3,10,32,3,3,23,8,16,15,8,30,5,6,1,1,3,1,1,3,11,1,2,0,5,5,6,4,10,3,0,6,2,0,1,3,2,0,4,4,2,4,4,3,2,0,2,1,1,5,6,3,5,3,5,1,1,0,1,0,3,3,0
R_cell_19,3,4,4,1,0,2,1,5,8,2,3,3,4,3,4,0,1,1,4,2,2,2,6,2,1,2,6,0,4,5,19,0,1,0,6,6,4,1,5,6,20,16,5,25,6,15,22,14,25,9,2,6,2,6,2,0,1,7,1,4,0,5,3,4,7,7,3,2,8,2,2,2,2,2,4,2,3,3,1,1,9,0,3,3,2,3,2,2,3,4,7,3,2,3,2,2,2,2,3,1
R_cell_20,1,3,9,4,1,2,6,0,4,2,4,6,4,3,6,4,0,1,11,5,2,0,2,3,3,2,13,1,1,7,69,4,15,4,7,11,8,13,3,35,2,4,3,1,6,1,4,3,4,2,4,6,0,2,2,3,0,4,0,6,1,1,5,1,4,4,1,0,5,2,4,3,2,0,2,6,1,2,7,6,1,2,4,1,0,0,1,2,3,7,0,1,1,2,2,1,4,0,1,0
R_cell_21,3,2,5,4,0,0,1,0,3,2,7,4,5,4,4,4,2,1,4,5,2,2,11,1,0,3,4,3,2,5,28,12,17,3,8,15,12,10,16,53,5,2,3,4,4,3,3,2,2,0,3,1,1,3,3,2,4,4,0,3,3,1,7,4,4,5,2,3,6,1,5,0,0,5,0,1,2,7,1,1,7,1,2,1,2,1,3,2,3,3,5,2,2,3,0,0,0,2,4,2
R_cell_22,4,0,4,11,2,0,4,0,5,0,2,5,5,2,3,0,2,0,1,4,0,3,1,2,3,4,6,1,5,2,11,3,2,1,6,3,4,3,1,2,10,5,9,24,7,17,19,11,26,14,2,6,2,5,0,3,1,12,1,8,1,1,5,4,7,5,3,3,3,3,2,0,2,3,3,8,2,2,7,2,6,0,0,3,1,7,2,1,3,5,6,3,2,2,0,0,2,1,1,1
R_cell_23,5,2,8,4,2,0,4,6,6,3,23,43,11,11,15,6,20,6,22,22,3,1,5,0,7,3,5,1,3,1,6,4,0,3,4,4,2,1,0,1,2,6,2,2,1,0,3,3,5,1,3,7,1,0,2,0,0,9,5,2,1,4,4,5,8,3,8,5,3,4,0,1,1,4,3,7,1,4,2,4,7,6,3,3,2,3,1,1,2,5,6,4,3,2,2,2,1,1,5,1
R_cell_24,2,5,0,3,0,2,7,4,7,0,4,7,4,8,2,2,3,2,6,6,4,3,3,4,0,3,5,4,6,1,31,8,9,10,8,20,13,3,14,78,2,1,1,9,4,1,8,4,11,1,3,2,1,1,1,0,4,4,2,4,0,3,5,7,7,7,1,9,3,1,1,4,0,2,4,6,3,6,4,3,3,2,5,2,2,0,2,6,5,4,3,2,2,3,1,1,2,2,4,3
R_cell_25,2,2,3,7,2,1,6,3,1,2,8,4,3,4,2,1,2,0,0,3,3,0,5,3,1,1,2,4,1,6,27,4,14,5,5,19,10,8,14,79,6,0,2,3,4,6,6,0,6,4,0,2,0,1,1,0,1,6,2,4,1,1,1,4,8,6,1,0,2,6,2,2,0,1,0,2,3,0,3,2,8,2,4,1,2,8,0,7,3,5,5,3,2,2,0,1,3,0,3,0
R_cell_26,6,1,10,2,2,0,3,2,2,3,6,4,5,4,9,1,6,1,6,3,6,8,42,9,6,7,20,12,33,25,3,6,3,1,7,11,6,1,0,3,7,2,1,0,7,6,5,3,8,2,1,5,0,0,4,2,1,11,0,7,2,3,4,4,9,7,0,1,11,1,0,3,2,8,4,2,4,2,3,3,6,4,1,2,2,2,1,3,10,5,2,2,3,4,1,0,0,3,2,5
R_cell_27,13,12,19,34,3,12,15,7,13,3,10,7,2,2,3,2,0,1,3,1,3,1,8,3,3,1,6,6,4,7,5,3,2,2,6,8,4,0,2,5,8,5,0,3,5,3,3,5,12,1,9,3,2,2,2,2,2,5,4,6,0,0,4,5,6,1,4,1,8,3,1,1,1,6,2,6,3,1,4,4,0,5,3,1,0,2,1,2,7,4,4,5,3,3,1,1,2,0,2,1
R_cell_28,4,3,2,6,0,1,1,4,0,4,2,10,0,9,4,2,5,0,4,3,3,1,3,3,1,1,6,1,1,0,6,1,2,3,7,7,2,1,3,2,30,10,4,12,12,15,17,12,32,9,4,12,0,3,6,0,1,11,1,4,0,2,3,4,1,8,2,1,6,5,3,1,1,6,5,1,0,2,2,1,1,2,3,0,0,5,5,3,6,2,3,2,1,3,1,0,0,3,4,1
R_cell_29,4,0,5,2,1,0,3,7,1,0,6,2,5,3,2,3,2,1,5,2,1,2,0,5,1,2,5,2,6,3,15,3,4,1,0,7,1,1,2,6,37,6,1,19,6,10,17,19,26,13,2,7,1,3,0,2,4,10,1,4,1,4,3,4,5,5,3,3,0,1,1,2,1,1,4,5,0,5,6,1,1,1,0,2,1,2,2,4,2,8,5,2,2,1,1,1,1,4,2,0
R_cell_30,7,0,7,2,1,1,4,2,3,0,15,4,2,14,2,0,1,3,6,0,6,2,10,3,3,1,6,3,4,4,29,1,3,1,3,6,0,0,2,5,23,5,1,15,20,4,18,9,28,16,1,4,1,0,0,2,0,11,1,5,2,3,5,5,6,2,1,0,10,3,0,1,2,6,8,1,4,2,3,3,2,0,4,0,1,2,1,4,6,4,3,2,2,3,2,0,3,4,5,2
R_cell_31,8,3,4,5,1,1,2,2,3,0,0,6,2,1,4,1,3,2,1,0,4,3,1,5,5,2,1,8,5,2,7,1,2,2,4,15,8,3,1,10,17,11,4,24,6,11,11,12,18,6,1,5,0,2,0,2,2,7,1,3,0,0,2,4,4,7,2,2,5,3,0,0,0,5,1,4,3,1,3,4,4,0,1,3,0,0,1,5,2,1,9,0,3,3,0,3,3,0,4,5
R_cell_32,3,1,7,4,1,0,3,3,1,2,25,15,10,15,12,4,10,8,48,11,3,3,4,4,8,1,5,4,5,7,5,1,1,2,3,4,4,5,1,1,3,1,2,4,6,3,7,4,9,1,3,5,1,6,1,1,3,4,2,3,2,1,1,3,7,4,3,3,7,1,0,3,2,3,6,5,2,2,5,3,3,3,2,4,2,2,5,5,4,5,5,3,2,2,0,1,1,2,2,5
R_cell_33,2,1,7,9,4,1,2,7,0,1,14,6,1,4,3,1,2,2,3,4,5,2,8,1,0,5,3,4,4,4,32,2,19,8,12,14,5,7,9,55,3,5,0,10,1,2,10,0,7,2,3,2,0,4,6,0,4,11,2,2,1,0,3,1,0,6,7,1,5,3,0,1,0,3,1,6,1,6,6,0,5,4,2,4,0,12,2,2,2,1,13,2,3,6,0,0,1,0,2,2
R_cell_34,1,1,4,6,0,1,1,1,3,5,5,3,6,3,3,2,3,1,9,1,8,12,19,18,12,6,30,10,13,7,11,2,5,3,5,8,6,0,0,5,3,2,4,2,2,5,4,3,10,3,4,3,2,1,1,2,3,6,2,2,1,5,2,5,10,8,0,2,2,1,0,2,1,4,4,7,0,5,2,1,3,3,6,1,1,5,4,1,2,3,5,5,0,7,0,2,1,4,1,1
R_cell_35,0,0,6,1,1,1,1,1,2,0,5,8,3,3,2,3,2,2,1,8,3,0,11,2,1,1,4,3,3,3,35,4,12,4,6,10,21,10,6,43,7,3,1,9,1,5,2,2,2,4,6,2,1,2,6,0,6,6,3,6,1,1,2,2,5,5,2,2,4,0,1,2,3,5,5,0,2,3,5,2,4,3,2,4,2,3,3,2,3,5,6,2,0,2,0,3,1,1,7,1
R_cell_36,5,2,2,3,0,0,3,7,1,1,4,8,2,5,1,1,1,2,8,4,0,1,5,4,2,1,2,8,4,2,6,5,1,1,2,7,2,0,2,6,17,10,4,24,8,12,20,19,20,26,3,4,0,8,1,3,2,4,1,2,1,1,3,2,8,2,2,0,8,5,3,0,0,4,3,7,0,3,4,2,2,1,2,4,0,2,3,2,2,0,4,3,0,3,0,1,0,1,4,3
R_cell_37,3,3,7,9,0,2,1,2,3,4,8,2,2,11,4,1,3,3,2,6,4,2,0,3,2,2,5,1,0,2,29,1,20,7,18,12,18,7,18,50,1,2,3,4,2,2,6,1,5,4,7,3,0,3,2,1,2,5,2,7,0,1,3,3,5,4,3,3,2,4,1,1,6,6,1,2,1,4,8,1,1,5,3,3,1,4,2,4,4,3,6,3,3,2,0,1,1,0,4,2
R_cell_38,4,2,4,6,0,1,3,2,4,0,6,6,0,4,4,2,3,1,5,0,5,4,17,10,13,16,21,12,18,15,12,3,3,1,2,3,0,3,6,9,6,3,0,6,3,3,3,5,3,2,1,5,1,3,1,5,1,5,2,8,2,3,5,4,8,3,1,5,3,2,2,0,3,6,2,7,0,1,6,0,4,3,1,0,1,4,4,1,6,5,4,2,1,4,1,2,1,2,3,2
R_cell_39,18,9,12,29,2,7,11,4,15,3,2,0,4,6,1,2,2,2,2,2,1,1,5,1,10,0,8,2,8,6,18,1,5,1,4,7,3,1,2,4,3,6,2,4,5,2,5,6,2,3,5,8,1,0,2,1,3,9,1,4,0,0,4,4,4,2,2,3,5,5,1,1,1,6,4,5,3,1,8,5,4,3,1,3,0,5,3,2,3,2,5,5,0,2,0,0,3,2,6,1
R_cell_40,3,3,6,5,1,0,2,1,6,2,3,6,2,8,8,4,1,3,10,3,3,3,5,2,5,2,5,3,4,2,8,4,1,3,5,4,3,2,1,2,25,22,3,15,11,12,18,21,27,8,4,5,3,3,1,0,3,5,1,6,0,3,1,2,6,6,6,5,4,3,0,2,0,4,4,6,4,7,1,2,3,2,2,1,0,2,1,1,5,4,5,4,2,3,0,3,0,0,0,3
R_cell_41,0,2,2,3,2,1,3,1,7,3,4,3,1,7,1,4,1,3,8,4,3,3,5,2,1,3,3,4,0,4,30,6,10,7,4,22,5,7,13,63,6,7,3,6,8,3,8,5,6,2,1,6,0,0,3,0,4,8,2,4,3,3,3,5,2,3,3,3,1,4,3,0,1,7,2,4,4,3,7,2,3,1,4,3,2,5,1,1,2,2,3,6,1,2,0,1,1,1,0,3
R_cell_42,6,0,4,5,3,1,0,1,4,1,27,27,22,20,13,5,19,5,44,16,3,3,5,1,2,2,3,2,2,3,10,2,2,3,5,11,1,4,0,4,2,3,2,2,1,6,2,4,6,3,4,2,2,0,4,0,3,7,1,6,0,1,3,4,7,2,1,3,3,4,1,0,1,2,0,3,3,5,2,6,3,0,2,3,0,2,1,1,8,6,5,5,2,0,3,1,1,2,1,3
R_cell_43,9,1,10,5,0,1,3,4,3,3,2,9,2,5,5,1,5,1,4,0,2,1,3,6,1,3,6,3,3,2,31,10,38,4,4,14,12,20,19,106,12,2,1,0,4,4,13,1,4,4,4,3,0,2,2,2,1,11,3,4,1,1,5,7,6,1,2,1,6,3,1,2,0,4,2,4,4,2,3,3,3,2,7,1,0,4,3,1,2,5,4,2,3,5,2,1,2,2,3,0
R_cell_44,2,1,4,7,3,2,5,5,2,3,6,8,2,6,6,2,5,0,3,4,2,1,9,4,0,5,4,2,4,2,9,1,4,1,5,3,6,2,1,8,17,6,7,10,10,7,26,19,38,9,3,3,3,5,1,2,6,5,2,5,0,1,3,2,4,7,1,0,11,4,1,5,1,2,2,6,0,2,3,3,3,2,4,1,1,1,2,3,6,9,1,2,2,2,1,1,1,1,3,2
R_cell_45,2,2,7,7,0,2,1,3,2,1,37,25,5,10,23,9,16,10,44,6,2,0,3,1,0,4,4,5,3,3,12,3,4,2,3,8,2,3,0,1,4,5,2,6,2,3,5,7,3,3,2,4,3,3,3,4,2,8,4,4,1,1,6,2,3,2,1,1,8,1,0,0,4,3,8,5,6,6,3,5,3,3,0,6,1,4,2,5,2,0,4,3,1,1,0,0,5,0,5,4
R_cell_46,3,2,6,5,2,2,3,5,2,1,1,6,3,8,1,0,3,1,8,0,3,0,7,4,3,2,10,2,5,1,48,3,15,4,8,15,13,11,13,48,1,4,1,3,0,1,6,5,3,6,1,4,0,2,0,1,6,10,1,2,0,4,3,3,3,4,1,2,5,2,1,1,2,4,1,2,1,1,3,3,2,0,2,1,2,3,6,1,0,7,2,2,1,0,2,0,2,3,1,4
R_cell_47,9,11,9,33,6,8,8,15,30,8,10,7,0,9,6,3,2,0,3,2,1,1,4,3,9,2,2,3,8,4,9,1,1,2,5,3,5,2,1,6,2,1,3,3,2,1,2,1,4,2,4,3,2,2,5,1,3,4,3,3,1,2,3,5,7,2,1,0,4,6,0,1,0,3,1,4,3,4,7,1,1,3,1,10,0,4,1,4,1,6,1,3,6,2,0,0,0,2,2,3
R_cell_48,12,14,19,34,0,9,16,13,15,1,4,3,3,8,1,5,1,0,5,1,1,5,3,0,3,3,4,6,7,5,7,1,2,1,3,8,4,2,0,1,9,4,4,6,4,5,3,1,4,3,6,3,2,4,3,0,3,4,4,5,1,2,2,5,9,12,1,1,8,4,1,0,2,5,1,4,2,1,4,2,5,4,0,1,1,2,2,3,6,1,1,6,0,1,1,1,1,1,0,2
R_cell_49,3,0,4,4,2,2,5,2,5,0,2,3,0,7,3,1,3,2,6,1,2,2,3,5,1,2,12,1,4,3,55,7,12,10,13,19,9,36,15,60,8,3,1,3,1,4,2,3,7,5,4,4,0,1,3,2,5,2,4,13,0,0,2,4,3,3,1,1,2,8,0,2,3,6,0,6,3,4,6,3,2,2,2,0,2,5,2,3,2,4,11,2,0,1,0,3,0,1,0,1
R_cell_50,2,1,4,7,1,0,2,2,3,5,3,2,2,5,7,2,1,0,6,1,4,11,40,27,25,6,37,4,9,8,15,0,6,4,13,9,3,2,0,7,3,5,4,4,7,3,5,10,8,5,6,4,0,4,7,4,1,9,6,8,0,1,4,1,0,2,5,3,0,1,3,3,4,12,2,5,1,2,4,4,5,1,1,4,1,12,0,3,4,2,3,4,4,3,1,1,2,2,0,2
R_cell_51,3,1,4,5,1,1,1,3,1,4,20,27,20,5,27,3,20,9,48,7,0,0,11,1,1,3,5,6,8,4,7,3,7,1,3,5,3,1,2,3,2,7,1,4,4,2,9,0,3,2,1,4,0,3,2,1,1,6,3,6,3,3,0,3,5,7,2,0,6,1,1,0,2,1,5,7,3,2,4,5,0,7,0,2,0,3,3,2,7,2,4,5,0,0,0,0,1,1,4,2
R_cell_52,12,16,18,48,2,3,6,11,13,8,4,4,1,4,4,1,5,1,2,1,0,2,5,3,3,2,1,5,7,8,9,2,2,0,4,4,5,1,1,7,5,6,1,3,2,3,1,4,3,2,4,7,0,0,1,0,1,8,0,13,0,2,2,2,2,4,6,0,9,4,1,0,0,2,4,1,4,5,8,0,2,1,2,4,2,7,3,2,1,6,3,7,3,2,1,2,1,1,4,0
R_cell_53,1,0,13,11,0,4,2,1,3,1,2,3,1,2,2,0,3,3,7,2,3,0,6,4,2,1,4,4,4,8,10,5,23,14,4,13,15,15,22,44,2,3,1,3,3,2,3,2,3,3,3,7,0,6,2,2,4,7,1,13,2,0,3,8,6,3,3,5,2,3,2,1,2,4,5,6,3,6,4,1,0,3,0,4,3,5,0,3,2,1,7,4,3,2,1,2,3,1,2,1
R_cell_54,4,1,4,5,0,4,3,1,2,1,18,36,10,9,16,11,17,9,48,9,1,3,7,2,0,0,4,5,3,5,12,0,3,0,2,7,3,2,1,2,6,4,0,0,5,4,1,2,5,8,1,2,0,2,2,2,1,10,0,3,1,3,2,8,0,3,0,3,11,1,0,3,0,2,3,5,4,3,10,2,0,1,1,4,1,3,1,4,8,2,3,2,1,1,2,3,1,2,3,1
R_cell_55,2,2,6,4,2,1,3,4,5,2,7,5,5,9,3,4,3,0,4,5,12,11,23,23,27,10,23,13,14,12,9,0,4,2,9,4,3,3,2,1,5,3,4,6,1,0,3,7,7,2,3,2,2,1,2,4,3,9,1,5,1,1,3,7,1,5,1,2,0,4,2,0,1,1,3,1,0,3,5,6,4,1,2,4,3,0,1,3,8,3,0,6,2,1,1,1,3,1,4,0
R_cell_56,7,3,6,6,1,1,2,2,11,4,4,4,8,6,1,2,3,1,4,3,10,7,43,32,13,10,42,13,16,15,14,9,3,1,8,1,0,0,1,2,1,1,4,5,2,5,4,6,3,2,2,2,1,5,2,1,1,5,0,3,2,1,2,8,7,7,5,1,5,4,0,1,2,3,2,8,1,0,6,1,1,3,1,3,6,6,3,2,7,6,2,3,2,5,1,1,4,2,5,0
R_cell_57,1,0,3,2,0,2,6,2,2,1,10,2,2,10,2,2,3,2,10,9,2,1,9,4,0,1,2,3,4,1,30,7,10,5,11,29,10,11,12,60,4,4,3,3,3,3,5,2,2,3,3,3,2,3,4,5,6,4,0,8,0,3,3,4,5,1,3,4,3,3,3,1,0,2,5,5,2,4,5,1,6,2,5,2,1,6,3,1,7,6,0,1,2,3,2,1,1,1,1,1
R_cell_58,6,2,7,3,4,1,3,2,2,3,30,23,3,17,18,8,7,11,68,8,1,1,4,6,4,1,6,2,1,6,10,4,2,2,1,3,1,1,1,4,1,5,2,4,2,1,2,2,4,6,2,7,3,2,6,1,1,5,0,4,1,0,4,3,8,1,2,1,7,3,0,1,4,4,2,4,1,2,4,1,4,1,1,3,4,2,0,4,0,2,3,7,1,4,1,1,0,2,7,5
R_cell_59,19,13,15,14,10,3,19,7,17,3,5,2,2,14,3,4,5,0,7,3,1,2,8,1,2,1,6,3,2,4,13,2,3,2,8,8,6,2,5,6,3,1,5,4,4,1,6,3,2,2,2,2,0,5,2,2,2,7,0,10,0,3,6,4,6,2,5,1,3,0,0,0,0,3,1,0,4,2,2,3,5,2,2,6,0,6,3,5,3,5,5,2,1,0,1,1,2,1,3,1
R_cell_60,12,12,10,52,2,7,9,7,25,2,1,1,7,9,7,1,1,1,3,3,5,2,8,2,1,2,4,5,1,1,9,2,4,1,3,5,5,2,2,2,1,2,1,1,4,1,2,2,6,3,0,4,2,3,2,3,2,5,0,6,0,2,2,1,7,3,0,1,2,2,2,1,7,5,1,3,3,3,5,2,4,4,0,3,0,3,7,0,2,2,4,3,3,2,5,1,2,3,6,0
R_cell_61,1,1,2,3,0,0,2,1,5,0,2,6,2,8,3,2,5,1,4,1,2,1,9,3,6,1,3,5,5,5,28,7,22,6,13,4,18,14,7,66,8,4,1,5,1,1,2,1,1,1,5,7,0,1,6,3,3,11,0,5,1,3,5,1,2,6,2,1,8,1,0,2,1,1,1,7,1,2,3,2,6,2,0,3,1,4,2,2,5,5,4,2,1,2,2,1,0,0,4,3
