,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,gene_40,gene_41,gene_42,gene_43,gene_44,gene_45,gene_46,gene_47,gene_48,gene_49,gene_50,gene_51,gene_52,gene_53,gene_54,gene_55,gene_56,gene_57,gene_58,gene_59,gene_60,gene_61,gene_62,gene_63,gene_64,gene_65,gene_66,gene_67,gene_68,gene_69,gene_70,gene_71,gene_72,gene_73,gene_74,gene_75,gene_76,gene_77,gene_78,gene_79,gene_80,gene_81,gene_82,gene_83,gene_84,gene_85,gene_86,gene_87,gene_88,gene_89,gene_90,gene_91,gene_92,gene_93,gene_94,gene_95,gene_96,gene_97,gene_98,gene_99
Q_cell_18,7,1,4,10,0,0,3,3,2,2,8,9,2,6,6,4,2,5,8,4,4,2,5,3,6,6,2,0,3,4,14,7,3,1,6,9,5,0,7,15,39,22,3,15,25,20,19,9,32,31,8,3,2,5,2,5,2,4,2,6,1,5,3,3,3,6,4,5,9,2,1,3,3,7,10,5,2,4,13,6,3,2,2,3,1,6,0,3,0,2,3,0,8,4,2,5,2,7,2,2
Q_cell_19,6,0,8,6,2,5,3,1,3,0,6,1,4,9,11,0,3,1,3,6,3,1,4,1,5,0,8,7,3,7,7,6,0,2,3,5,2,1,7,7,17,21,1,15,9,18,21,6,10,31,2,5,2,4,2,2,1,17,5,3,2,2,4,5,13,11,1,3,6,2,2,1,1,2,0,13,2,3,3,5,3,6,3,1,0,3,2,3,4,4,5,3,1,6,1,1,1,2,7,0
Q_cell_20,4,0,1,13,0,1,1,1,3,0,5,7,5,6,5,1,5,2,1,0,6,7,33,13,24,16,42,4,23,18,15,2,1,3,2,3,2,3,2,9,4,6,5,4,3,4,6,2,7,6,3,10,2,2,4,1,2,10,3,6,1,0,2,12,4,3,0,0,4,2,0,1,0,6,1,6,4,2,4,6,2,0,2,4,0,4,4,1,3,5,4,2,0,4,1,2,0,0,1,4
Q_cell_21,6,3,4,11,1,2,6,3,6,2,29,24,16,9,54,3,17,10,36,14,3,1,6,0,6,1,1,4,4,6,25,1,3,3,9,6,5,0,5,4,8,0,2,1,8,6,1,1,5,7,6,3,3,5,3,0,2,8,2,3,1,1,7,9,19,4,4,1,7,4,0,1,1,3,7,6,4,11,5,2,6,12,1,4,1,1,1,2,5,4,4,1,2,4,1,2,0,0,5,1
Q_cell_22,4,0,4,5,0,1,11,4,5,3,4,4,2,12,2,10,5,3,7,5,6,5,26,16,20,35,31,5,16,6,26,0,5,1,7,9,5,0,1,10,2,4,0,6,4,6,3,1,4,6,6,4,3,6,1,2,1,15,2,4,0,1,5,8,2,3,3,1,1,3,0,4,0,3,4,10,6,2,7,9,5,3,1,3,1,1,1,3,2,6,5,4,2,4,3,1,0,2,2,2
Q_cell_23,7,2,3,6,0,1,5,1,1,1,4,8,4,4,6,2,7,2,8,4,4,0,2,0,1,1,9,1,0,9,20,4,6,2,3,6,0,6,1,7,17,19,4,20,5,17,21,7,45,7,4,7,0,5,2,3,3,9,1,7,1,2,7,3,4,7,2,2,2,9,0,1,2,7,3,2,6,2,3,2,5,5,2,2,1,3,4,5,2,1,2,4,2,3,5,1,0,1,4,2
Q_cell_24,6,0,3,3,2,0,2,1,0,0,4,8,4,15,8,3,1,2,0,2,5,21,32,17,16,11,21,4,22,12,16,1,3,3,4,5,3,1,6,11,9,3,4,3,4,3,6,0,6,2,6,9,1,1,1,0,3,12,4,8,1,0,1,4,3,4,6,1,8,5,3,1,1,4,5,3,4,1,5,2,9,3,1,2,2,7,6,0,4,2,6,1,3,2,1,1,1,3,5,1
Q_cell_25,13,4,7,19,3,6,6,13,14,0,13,4,2,6,9,1,3,1,2,7,4,5,7,3,4,4,4,2,7,3,17,3,1,2,5,5,1,2,3,5,5,2,3,3,6,1,7,5,4,3,2,5,1,6,1,0,3,12,5,7,0,1,3,4,8,4,8,2,3,4,2,2,1,2,7,8,3,2,9,5,2,2,3,3,1,3,0,4,1,9,2,1,1,3,4,0,2,0,1,0
Q_cell_26,6,2,3,6,2,4,3,1,1,3,6,10,3,4,2,6,0,2,2,3,9,4,35,9,16,11,46,9,10,10,16,1,6,2,3,4,1,1,4,10,3,6,2,7,9,12,6,5,3,10,10,7,2,4,1,1,2,15,1,3,0,4,4,2,6,9,7,1,5,2,0,2,1,2,4,11,6,3,1,3,6,3,1,1,0,6,4,1,2,4,5,2,3,3,0,1,3,5,10,1
Q_cell_27,4,2,6,4,0,0,3,3,8,0,4,6,4,9,12,4,10,0,8,4,0,1,8,3,4,2,0,2,4,3,12,3,2,2,6,4,4,2,7,7,30,10,4,27,6,11,23,11,24,39,2,2,0,1,1,2,1,13,1,8,0,2,4,4,12,7,3,2,5,1,2,0,3,4,8,1,5,3,5,0,7,3,3,3,3,6,3,5,6,7,2,3,2,5,0,1,3,3,4,1
Q_cell_28,8,2,5,9,0,0,5,3,1,2,7,10,4,3,2,4,2,2,3,6,6,1,10,0,7,7,5,2,7,2,15,7,2,4,5,3,2,2,3,13,27,14,7,22,28,22,12,11,31,19,4,5,6,1,5,1,3,10,5,8,0,5,6,5,5,4,0,1,3,4,1,1,1,1,4,5,0,1,1,0,9,4,2,7,3,4,1,1,9,3,6,6,0,2,1,2,1,1,9,3
Q_cell_29,3,1,9,6,4,0,4,2,3,2,11,6,2,9,4,6,9,3,6,3,16,20,10,32,11,11,36,7,14,8,26,3,4,2,8,7,3,1,3,2,6,5,0,5,3,4,6,2,3,0,7,5,2,3,3,2,0,6,8,4,1,4,3,9,10,9,2,2,1,1,1,3,0,7,3,7,2,3,7,3,6,2,3,3,1,3,2,7,4,7,6,2,2,3,3,0,2,0,6,2
Q_cell_30,4,3,1,8,4,0,6,2,3,2,5,9,6,13,5,4,8,8,5,0,9,11,21,26,15,23,52,6,11,22,17,1,6,3,4,6,1,1,3,8,4,9,3,1,5,2,3,1,4,8,4,6,1,0,2,2,3,7,1,10,1,5,1,1,6,5,3,3,4,4,1,2,3,4,3,5,0,2,10,7,6,2,3,3,3,3,1,5,0,4,5,3,1,3,1,0,2,2,6,2
Q_cell_31,5,0,2,0,1,1,6,3,1,1,2,8,1,11,13,4,2,2,6,3,5,4,19,18,30,7,56,5,20,9,12,2,6,2,0,4,8,0,4,7,7,6,3,2,5,10,2,0,0,7,4,2,1,3,2,1,5,9,2,7,4,1,6,4,5,2,8,2,1,3,2,1,3,1,11,13,5,1,6,9,3,0,0,3,1,6,5,6,6,1,3,2,2,5,2,0,2,1,1,0
Q_cell_32,10,11,22,60,5,1,23,8,23,2,5,6,3,10,6,4,9,2,12,2,2,1,4,4,2,5,3,7,3,2,21,5,5,7,6,7,3,1,3,12,1,2,2,2,11,4,4,6,2,8,3,2,1,2,2,1,0,15,3,3,2,2,1,0,5,5,8,2,12,9,5,0,1,0,5,3,3,1,5,4,3,2,2,3,2,4,2,1,8,3,13,4,3,2,1,0,1,2,6,0
Q_cell_33,3,1,6,6,1,2,6,3,4,0,5,5,5,2,4,2,2,3,5,1,3,0,6,0,2,2,14,4,4,4,14,0,0,2,4,2,2,1,4,7,35,11,6,12,18,42,15,19,23,45,3,2,0,7,3,1,2,7,5,3,2,3,4,3,8,2,2,2,3,2,3,6,0,3,4,6,3,3,6,8,4,6,2,1,1,3,0,3,6,5,1,3,4,5,1,1,4,2,3,2
Q_cell_34,1,4,0,6,0,2,0,3,10,3,39,66,14,16,23,19,15,14,31,11,2,0,5,2,3,4,10,2,8,1,8,2,3,4,4,3,1,1,4,6,7,4,0,4,5,1,5,7,5,7,9,5,0,3,3,2,2,8,1,3,2,1,2,9,6,3,1,0,6,5,3,1,2,9,5,8,2,0,8,3,5,1,0,1,0,12,1,2,1,5,7,1,2,5,0,4,4,1,1,0
Q_cell_35,6,0,4,2,0,0,2,4,0,1,37,38,13,14,31,7,10,8,23,12,2,2,3,1,3,0,2,6,2,3,19,1,4,3,7,12,2,2,4,10,11,1,0,0,1,8,4,4,0,2,8,5,2,0,4,2,5,9,3,2,0,2,11,6,12,6,10,1,3,5,4,2,0,1,8,1,4,5,2,7,8,5,3,4,2,10,3,3,6,6,2,3,2,2,1,0,0,5,2,2
Q_cell_36,2,1,0,7,0,2,3,3,4,1,3,7,6,11,8,2,5,3,7,3,11,10,34,19,29,4,50,3,14,12,15,2,5,0,4,5,8,5,0,9,5,0,4,3,5,6,9,2,3,4,5,7,0,6,2,3,1,19,3,9,0,1,3,7,4,3,2,4,7,2,0,1,3,6,4,8,5,4,3,1,4,6,3,7,3,3,2,3,5,2,5,6,3,2,1,2,0,2,5,3
Q_cell_37,10,0,8,2,3,4,2,1,1,3,39,18,12,12,52,12,17,15,41,27,7,0,5,4,10,2,9,3,7,3,7,3,2,1,0,1,7,3,3,8,9,12,0,4,3,4,5,6,4,4,3,10,0,3,0,3,3,10,2,8,1,6,5,2,6,4,9,0,4,1,1,0,0,7,2,1,0,0,3,4,3,9,6,0,0,3,0,3,2,3,9,1,1,3,1,1,0,2,7,2
Q_cell_38,3,1,4,8,1,0,1,0,4,1,6,15,1,17,15,4,6,2,7,7,5,2,2,2,3,5,1,2,2,4,26,9,3,3,3,12,1,1,6,15,19,20,8,14,18,14,19,12,34,23,6,6,1,2,2,2,0,8,2,5,1,2,3,3,16,3,6,1,3,5,1,4,1,9,9,6,3,6,9,2,4,1,5,6,2,6,3,3,3,3,4,2,9,3,1,1,1,1,6,0
Q_cell_39,4,2,4,3,1,1,5,3,3,2,5,10,3,8,12,6,3,2,4,3,0,5,8,6,3,2,8,3,7,6,30,2,14,4,7,15,25,9,30,132,2,3,1,4,8,5,8,2,2,15,6,4,5,1,1,1,3,8,2,7,2,2,1,1,4,9,7,0,3,0,2,0,0,3,5,3,2,7,8,1,9,7,1,0,0,2,5,3,8,5,6,1,2,4,3,0,1,7,1,1
Q_cell_40,3,1,2,10,4,1,1,1,0,2,3,13,1,16,9,4,3,4,8,6,7,17,26,20,24,13,38,12,8,9,29,1,4,4,5,4,3,6,4,6,4,8,1,1,3,5,4,4,6,6,1,5,2,5,2,2,4,12,2,3,2,2,5,1,2,0,6,5,8,2,1,3,3,4,8,5,1,3,11,3,11,2,3,2,0,1,2,3,0,6,5,2,0,5,4,0,1,0,2,2
Q_cell_41,5,0,3,3,0,1,6,1,3,1,3,6,6,4,5,2,2,3,4,1,2,3,2,0,3,3,8,3,3,5,16,1,2,1,3,7,2,2,14,4,16,13,3,4,17,10,21,8,23,38,4,4,5,2,3,0,0,5,0,7,0,2,4,2,6,9,1,3,2,2,3,1,2,3,2,10,4,2,3,0,1,3,6,2,3,5,1,4,3,3,5,4,3,1,1,2,2,3,10,4
Q_cell_42,15,7,10,38,4,8,19,8,13,4,4,5,3,8,7,5,4,2,3,3,4,1,7,1,5,3,7,2,1,3,17,7,2,3,1,8,7,0,2,7,5,2,3,1,1,4,4,2,6,3,5,4,5,2,3,1,2,6,2,4,2,4,4,2,6,9,3,2,4,3,0,2,3,6,5,4,2,5,5,2,3,3,4,2,2,11,1,7,4,3,5,0,0,4,0,1,3,1,6,1
Q_cell_43,1,0,5,7,3,1,1,1,0,3,2,6,5,6,10,3,4,2,3,2,5,8,26,22,16,33,43,8,17,14,23,2,1,3,6,2,2,4,4,3,4,4,3,1,4,9,3,3,4,9,4,2,6,0,2,2,2,6,1,4,1,2,6,3,14,11,5,2,4,3,3,2,2,2,3,7,4,9,6,2,4,3,7,2,1,4,4,5,3,1,3,2,2,5,1,0,0,2,5,0
Q_cell_44,2,0,12,5,2,0,8,1,1,4,8,15,1,19,1,5,6,2,8,2,6,10,19,32,17,22,68,7,15,13,16,0,4,5,6,5,2,2,3,8,9,3,0,4,6,2,5,6,0,5,2,3,2,1,1,2,4,18,2,14,1,3,0,0,16,2,3,0,4,2,1,0,3,6,5,7,1,1,4,3,9,1,3,3,1,3,4,7,4,0,8,1,4,1,0,0,1,2,6,3
Q_cell_45,5,1,1,10,2,0,2,2,4,4,40,32,9,13,45,30,21,4,18,19,4,0,14,4,6,1,6,2,2,3,13,2,0,1,0,6,5,1,2,2,9,7,0,5,8,6,3,0,3,5,2,4,0,2,0,1,1,8,3,7,3,0,4,5,5,4,2,1,1,1,1,0,2,2,4,5,6,4,5,2,6,10,5,0,1,6,4,2,9,1,8,1,5,5,3,1,2,1,2,3
Q_cell_46,7,1,2,8,0,0,7,1,1,0,10,4,0,6,3,3,3,3,4,2,2,1,2,6,1,4,2,3,5,6,50,4,15,9,7,15,16,4,24,92,4,3,5,4,3,4,4,4,4,3,3,14,2,2,0,3,2,13,5,12,3,1,0,3,6,6,2,4,7,4,1,2,0,1,6,4,2,3,9,4,6,1,3,6,2,17,4,5,9,5,2,2,2,7,1,1,1,3,4,1
Q_cell_47,2,2,3,5,2,1,3,1,1,0,45,14,9,32,39,6,13,18,57,13,6,0,6,2,2,5,5,2,3,2,24,4,1,2,4,4,3,4,5,3,5,5,2,1,0,7,6,6,5,7,2,5,0,5,3,2,3,4,9,4,1,1,3,3,6,2,7,5,5,1,2,2,1,3,6,6,6,1,9,8,1,2,1,5,0,8,4,6,3,2,2,5,3,3,0,2,1,0,4,1
Q_cell_48,10,2,5,6,2,1,3,1,0,2,4,5,6,5,5,4,3,2,8,4,0,0,5,1,5,2,5,3,5,2,66,6,22,24,11,11,14,12,31,76,7,6,1,2,5,3,9,3,4,12,8,8,2,2,1,3,1,14,1,7,0,1,3,6,1,8,5,1,0,3,1,0,2,3,8,10,1,2,6,7,8,6,5,2,0,3,1,4,4,3,8,3,6,5,1,0,2,5,1,3
Q_cell_49,5,1,3,10,0,0,6,2,1,2,3,9,6,3,3,5,6,2,3,7,0,1,11,2,1,3,10,4,9,3,12,4,1,0,7,3,5,1,4,1,19,16,6,15,15,21,18,19,39,31,7,4,5,5,2,2,3,4,4,6,1,1,3,7,4,9,3,1,8,4,0,2,4,10,14,7,9,3,2,4,5,4,1,2,4,3,0,1,3,8,2,3,3,2,0,1,4,2,5,1
Q_cell_50,5,0,5,6,4,0,3,0,2,5,0,14,7,3,6,2,5,2,5,5,1,3,5,1,3,1,7,4,4,4,87,6,7,14,10,9,15,13,30,90,10,0,4,2,4,4,7,3,4,7,1,7,2,3,2,3,3,14,5,4,1,1,2,9,13,8,7,2,8,4,0,3,0,4,2,10,3,13,4,5,3,1,1,4,1,4,7,1,14,4,6,7,3,5,1,2,0,1,4,4
Q_cell_51,3,1,5,2,4,1,5,4,3,3,9,7,2,0,9,0,3,4,1,3,7,13,44,15,16,26,39,9,20,16,21,5,0,4,2,4,4,0,3,11,2,5,2,4,1,5,6,4,2,2,7,14,3,0,0,1,2,16,0,5,0,0,3,5,1,9,3,2,6,8,2,1,0,3,10,2,1,2,3,3,4,3,3,3,2,4,2,2,5,5,5,4,1,5,0,0,0,1,8,0
Q_cell_52,5,0,6,7,1,0,6,0,1,4,9,5,8,4,5,3,3,0,7,0,13,3,40,20,50,6,80,7,3,5,26,2,5,1,4,4,1,3,3,5,6,6,2,1,4,6,2,6,3,5,4,3,1,0,1,1,2,9,8,6,0,2,4,5,8,9,2,4,5,2,1,0,2,5,4,9,0,4,16,3,7,1,3,2,0,7,3,2,8,1,2,3,8,4,2,1,1,0,6,2
Q_cell_53,2,4,3,5,1,1,7,2,2,2,3,19,3,5,2,4,3,4,8,3,6,19,21,15,21,11,37,12,18,26,7,3,3,2,8,8,7,1,1,6,8,6,0,8,4,4,4,2,5,10,8,7,1,8,1,1,1,14,3,5,1,2,4,7,5,9,3,2,6,0,0,1,0,5,1,7,2,2,10,7,2,5,3,4,3,5,3,1,1,5,8,1,1,4,1,0,0,1,11,2
Q_cell_54,19,10,8,27,2,7,10,13,4,5,4,6,3,9,1,1,10,8,6,0,2,2,8,2,3,4,2,3,1,8,20,0,3,2,1,5,5,0,2,5,4,2,2,7,2,4,5,2,6,3,5,4,3,2,6,5,4,13,0,4,0,2,2,7,3,2,7,1,4,3,0,0,1,2,3,11,4,4,2,6,6,3,2,2,3,11,2,5,2,2,2,2,5,1,0,1,1,1,7,5
Q_cell_55,17,9,23,32,1,7,11,6,18,5,12,7,9,6,10,4,4,0,7,1,6,0,3,0,9,3,8,1,4,2,13,2,4,2,3,5,1,1,4,11,5,9,6,1,1,5,11,7,5,6,2,3,0,4,1,2,1,7,2,8,2,2,2,10,7,8,8,4,3,2,0,4,0,5,4,2,1,2,3,4,4,1,8,1,0,1,2,4,5,3,6,2,3,6,0,1,3,1,1,4
Q_cell_56,2,1,4,7,2,0,8,6,4,2,3,4,6,3,3,5,2,1,3,1,3,2,7,5,2,3,7,2,3,2,12,5,3,2,5,6,2,2,4,11,24,13,3,7,14,19,19,12,41,27,6,8,4,4,1,3,4,7,3,2,1,1,6,4,0,6,6,3,11,4,1,2,1,7,6,8,6,2,10,4,6,3,3,5,2,3,5,2,2,1,1,0,5,5,2,1,1,1,0,1
Q_cell_57,1,0,5,6,0,0,5,4,0,2,7,7,2,12,3,4,4,1,5,1,1,3,5,1,5,7,5,4,3,1,72,7,9,9,17,19,18,8,42,99,2,2,2,3,3,2,12,4,3,7,3,8,0,0,2,4,2,8,0,3,0,3,6,2,1,16,5,2,6,2,0,0,2,2,6,9,2,3,4,1,12,7,2,3,0,1,1,3,8,6,3,0,0,1,0,1,2,1,7,0
Q_cell_58,12,9,12,28,4,3,15,19,11,0,9,2,2,14,6,6,2,6,3,11,6,4,1,1,3,4,11,2,10,0,12,3,8,2,2,11,4,2,8,10,2,9,1,0,2,0,4,5,3,0,7,5,1,2,0,1,1,5,1,10,1,1,2,5,2,4,8,2,8,3,1,1,2,3,8,11,1,4,8,1,8,4,4,0,1,3,5,4,3,1,4,3,1,4,0,1,0,1,8,2
Q_cell_59,19,16,12,43,1,14,13,11,13,2,7,10,3,21,6,3,8,1,3,2,9,1,8,2,4,1,8,4,5,2,10,3,1,2,6,12,2,5,2,10,6,5,2,6,2,6,2,5,10,5,6,8,2,4,3,1,2,9,2,5,3,2,2,2,8,5,10,2,5,2,3,0,1,6,9,2,1,4,5,3,7,6,1,4,2,4,1,2,3,2,2,1,5,2,1,0,1,4,5,1
Q_cell_60,3,4,2,4,0,3,1,1,3,2,4,1,1,8,8,4,5,0,5,3,4,0,8,1,0,0,6,5,5,4,39,4,25,7,7,9,14,6,23,133,5,3,3,3,3,0,9,3,6,5,4,5,4,2,4,2,1,11,5,4,1,1,2,2,5,11,3,1,5,4,2,2,1,3,8,3,5,6,6,1,4,7,4,3,4,2,2,3,5,5,2,3,2,3,3,0,2,2,2,3
Q_cell_61,6,2,4,5,1,0,4,2,4,2,2,9,3,9,5,1,6,1,3,3,22,5,18,12,20,9,31,12,15,5,12,1,4,2,2,7,3,4,8,8,12,5,1,3,6,2,5,3,4,7,3,5,0,1,2,1,1,13,3,9,4,0,4,7,7,2,4,3,6,3,0,2,3,10,7,5,5,2,11,2,8,1,2,1,0,4,2,2,1,12,7,4,3,3,4,3,0,2,2,1
